sentence,polarity,category,aspect
والله صحه ليك يا صاحبي ربي يحميك ملا مكينه متاع ماكله يا معلم,Positive,GENERAL,
الي من تونس يحط جام,Positive,GENERAL,
ما شاء الله و بارك علي اكل تونسي,Positive,GENERAL,
انا من جزائر نحب بزاف شعب تونسي,Positive,GENERAL,
والله تونس احلي بلد في عالم انا من فلسط عشت انا واخي 4 سنو في تونس كتير مشتاق الي تونس حبيبه,Positive,GENERAL,
والله انا من سعوديه واتم ازور تونس خضراء,Positive,GENERAL,
صلوا علي اشرف خلق مرسل سيد محمد وعلي اله وصحبه وسلم,Positive,GENERAL,
كيف نشفي من حب تونس,Positive,GENERAL,
تونسي وافتخر,Positive,GENERAL,
نحبك برشه تونس تحيه من فلسط,Positive,GENERAL,
هذا عدنا عراق بس نسمي بيض شرب بس نخلي لمده دقيق او ثلاثه,Positive,GENERAL,
تحيه لكل عربي بيحب تونس ربي يقرب قلوب و يوحد امه اسلاميه ان شاء الله,Positive,GENERAL,
تبارك الله علا مطبخ تونسي بحالو بحال طبخ مغربي غني وعندو بصمه ديالو معرووفه الله يوفق علي اجتهاد ديال في اغناء ثقافت,Positive,GENERAL,
تونس هي دلوعه عالم عربي الكل يحب سبح الله حتي وان لم نزر,Positive,GENERAL,
تحيا من عراق الي تونس عشق,Positive,GENERAL,
نساء تونس ينكرطن يا اخي بنات ايطاليه فديت تحيه لتونس,Positive,GENERAL,
تحياتي شعب تونسي جميل اخو عراقي,Positive,GENERAL,
تحيا تونس خضراء بلدي جميله,Positive,GENERAL,
تونس حلوه برشا وانا عشت فيها برشا تحيه من شعب سوري تونسي اكتر حاجه يعجب فريكسي كسكس,Positive,GENERAL,
تحيه من عراق لتونس,Positive,GENERAL,
حبايبي توانسه نحب هلبا و ربي مضياف و اصحاب واجب,Positive,GENERAL,
تعالو لتونس و نستضيف,Positive,GENERAL,
كيف نشفي من حب تونس تونسي و افتخر بتونستي,Positive,GENERAL,
فيديو روعه و لا في احلام,Positive,GENERAL,
تحيا بلادي تونس,Positive,GENERAL,
تحيا الي تونس بلادي حبيبتي,Positive,GENERAL,
ربي يجعل بلاد امنا وسائر بلاد مسلم,Positive,GENERAL,
يا الله ما احلي واجمل تونس واهل تونس الله يحا يا توانسه ويسعدلي سما شو كريم ينو احلي وارق واقوي تحيه فلسطينيه الي تونس حبيبه تونس قلب الله يحماكي يا تونس ويا جزائر احنا هون بفلسط منعشق عشق ابدي حتي لو ظلمتو مع انو ولا يمكن تعملوهال اصيل جداوياريت حدود فلسط معا مش مع مصر,Positive,GENERAL,
هريسه ابد 3,Positive,FOOD#QUALITY,اكل
655 دوزه باهيه حطوهالو تشوشط,Positive,GENERAL,
مرحبا بيكم في تونس,Positive,GENERAL,
3 ياس عيشك علي طيبه,Positive,GENERAL,
ماشاء الله عصب عصب عصب,Positive,FOOD#QUALITY,اكل
عاش مغرب عربي تحيه من ليب,Positive,GENERAL,
اللي شاف عصب كبه مقليه يصف جنبي,Positive,FOOD#QUALITY,اكل
لهجت ونبره صوت تحس كلهم معلق كره قدم جميله ماشاء له,Positive,GENERAL,
تونس مشيتله 12 مره تحيه لخوت توانسه من ليب,Positive,GENERAL,
عصب,Positive,GENERAL,
اي سعودي لايك,Positive,GENERAL,
يابابا علي تونس بيه تحيا ابد دهر,Positive,GENERAL,
اهل طيب و كرم ضيافه الاخ كريم مستضيف ونعم رجل الذي مثل اهل تونس الله يحفظ له امه ويطول في عمر علي خير طاعه ولا هي غريبه علي اهل خضراء,Positive,RESTAURANT#SERVICE,شاف
معروف اكل توانسه احسن اكل والله انا اسبوع جاي مسافر لتونس باذن الله عشان اكل,Positive,FOOD#QUALITY,اكل
صحه و بشفا مرحبا بيكم في كل وقت,Positive,GENERAL,
اكل تونسي افضل من مغربي و جزائر,Positive,GENERAL,
ولله توانسه مش شي جديد علي ضيافه ولكرم واحب بلد لقلبي,Positive,GENERAL,
قلبه بي قلب,Positive,GENERAL,
تونس حبيبه اشتقت اليك ينعل بو لغربه,Positive,GENERAL,
انا من تونس,Positive,GENERAL,
اتوانس رجال بمع كلمه تحياتي لكم من سلطنه عمان,Positive,GENERAL,
مرحبا بيكم في,Positive,GENERAL,
صحه راحه علي قلبك انشاء الله ينفعك,Positive,GENERAL,
ولله كتير طيب لكسكس ب لكرشا دقت من عند صديقتي تونسيه تحيه ليكوم من مغرب,Positive,FOOD#QUALITY,اكل
حبيب قلب باسل وربي يوفقك انشالله ويعطيك الف صحه سئوال ليش مارحت جربت اكل عراق في بصره اكل بيجنن,Positive,GENERAL,
ثلاث زيار رحت لتونس فعلا اكل مختلف عن باقي دول عربيه و استخدام تونا في كثير من اشياء بيعطي ميزه زيت زيت و خضار طيبه بشكل رهيبو هريسه مع اني ما تحملت لكن فكرت لوحد رائعه,Positive,GENERAL,
ما شاء الله علي ياس ولد بلادي هذي تونس جميله مرحبا بكل اخوت عرب في بلد تونس,Positive,GENERAL,
راجل سييد مرحب بيك انشاء الله ازور تونس,Positive,GENERAL,
تحيه لكل عرب اين كان,Positive,GENERAL,
شكل اكل يجنن عراقيه كانت هنا,Positive,GENERAL,
تحيه شعب تونسي شقيق انا من مغرب,Positive,GENERAL,
فيديو رائع تونس بلد جميل به شعب عظيم وطعام جميل,Positive,GENERAL,
و الله نحبك برشه برشه,Positive,GENERAL,
ماشاء لله كرمي كثيير ربي يبارك بيهم,Positive,RESTAURANT#SERVICE,شاف
شكرا لكن تبارك الله عليك قداش تاكل,Positive,RESTAURANT#SERVICE,شاف
كان جير في عراق عائله تونسيه اكل روعه وناس كرماء,Positive,FOOD#QUALITY,اكل
شعب هريسه ههه,Positive,GENERAL,
تحيه تونس,Positive,GENERAL,
ونعم كسكسيه,Positive,GENERAL,
تونسيه و افتخر,Positive,GENERAL,
اي عربي يريد زياره تونس يتفضل و مرحبا بيكم ا عن نفسي اي شخص يحب يزور تونس يكلم والله,Positive,GENERAL,
الله اعطيك صحه يا لميمه تعيش تونس,Positive,GENERAL,
افضل علي اطلاق,Positive,GENERAL,
حلقه رائعه جدا والف تحيه لشعب تونس عظيم اخو من صومال,Positive,GENERAL,
سلام علي ورحمه الله وبركاته اخي كريم مرحبا بك في جزائر اذا اجيت تعي لعندي اهل وسهل,Positive,GENERAL,
اللي من يدز جام,Positive,GENERAL,
اخي باسل حاج اسعد الله اوقاتك بكل خير وفي طاعه مولي عز وجل اخو احمد مصري واعمل في جده,Positive,GENERAL,
تونسيه هذي باينه فحله طيابك يهبل تحيه من جزائر و بصحتك يا باسل,Positive,GENERAL,
تونسيه وافتخر,Positive,GENERAL,
تحيه لي اهل في تونس تبرك الله علي,Positive,GENERAL,
لهم صلي وسلم علي نبي محمد وعلي اله وصحبه اجمع,Positive,GENERAL,
شعب مضياف و ناس كرماء و طيب الله يديم علي امن و امان,Positive,GENERAL,
الف تحيه شعب تونسي طيب كريم محب من سود,Positive,GENERAL,
بحب برشا يا اهل تونس من مصر,Positive,GENERAL,
محلا بلادي,Positive,GENERAL,
هريسه معج طماطم عيب عليك و الله هه,Negative,GENERAL,
كل منجوع نتفرج عليه,Positive,FOOD#QUALITY,اكل
انا مصري بحب شعب تونس كتير لان شعب قلبه طيب بصراحه انا عاشرت باوروبا,Positive,GENERAL,
محلا لهجه تحياتي من عراق عراق ثوره تشر,Positive,GENERAL,
الله يبارك,Positive,GENERAL,
هناء و شفاء انشاء الله,Positive,GENERAL,
والله يا باسل جننت ابو مش عارف وين نروح في حال يا زلمه صرنا نتوحم من وراك والله يسعد قلب شعب تونسي شقيق,Positive,GENERAL,
عصب تونسي و ملوخيه من اطيب اكل في بلادي,Positive,GENERAL,
صحه و هنا يا باسل ان شاءالله تكون استمتعت و نورت بتونس,Positive,GENERAL,
اكل يعمل دم اعمل ضربه قارص و ماء,Negative,FOOD#QUALITY,اكل
تونس اهل كرم محب من مكه,Positive,GENERAL,
تحيه مغرب عربي ليب جزائر تونس مغرب بلاد رجال تحيه من ليب,Positive,GENERAL,
تونسي وافتخر,Positive,GENERAL,
تحياتي من تونس,Positive,GENERAL,
اهل تونس من اطيب واكرم ناس الي عرفت تحيه من سعوديه,Positive,GENERAL,
تونسي,Positive,GENERAL,
ياريت تزور جزائر مرحبا بك عند راح نضيفك وكل شيء علي راح تنبسط,Positive,GENERAL,
احلي اكل في تونس والله صحت و عافيه,Positive,GENERAL,
وصفك اكل و طعمه دقيق يعطيك صحه,Positive,GENERAL,
تونس ارض كرم ثقافه احب اخو من سود,Positive,GENERAL,
ماشاء الله علي وعلي ماكله و نظافه حمد الله نحنا بلاد وعي جمال ثقافه,Positive,GENERAL,
سلام من فلسط منحب تونس ونفسي ازور,Positive,GENERAL,
شهيت ولك الله يسامحك,Positive,GENERAL,
تفرجت عليه اكثر من 10 مرات غير عادي,Positive,GENERAL,
بلادي حبيبه,Positive,GENERAL,
مشاء الله تسلم ايد الف هناه وصحه شارك قناتي,Positive,GENERAL,
اخ باسل مرحبا بيك في جزائر والله نشيلوك في عيني,Positive,GENERAL,
والله يا باسل حرام عليك كل ما اتفرج عليك اجوع منك لي الله ههه,Positive,GENERAL,
بلادي,Positive,GENERAL,
انا جيتك جيبتليك احلا ليك مسنياك ترد اخي اوختك من مغرب تحياتي لك,Positive,GENERAL,
تونس حبيبه,Positive,GENERAL,
اجمل واحلي واجدع وارقي شعب في عالم شعب تونس مصري عاشق تونس,Positive,GENERAL,
تونسيه و افتخر,Positive,GENERAL,
انا لبنا عايش بتونس صراحه شئ ثاني اكل هنا,Positive,GENERAL,
يعطيه صحه تونسي اللي معاك اما الحق عنا ما ابن ببرشا ماللي كليتو,Negative,GENERAL,
تونس خضراء,Positive,GENERAL,
اتم اهل تونس يفتح مطاعم في سعوديه حرام يكون عند مطاعم من جميع دول عالم ومايك عند مطعم تونسي,Positive,GENERAL,
احسنت الله ينورعليك باسل خير صحه عافيه,Positive,RESTAURANT#SERVICE,شاف
باسل ممكن اعزمك علي سمك بس شغل يدي,Positive,GENERAL,
انام جزائر كنت دائره في بالي توانسا مكلت شبه جزايري مي لعكس تما,Positive,GENERAL,
انا سعودي بحب اخو تونس ودي ازور تونس حبيبه اكتشف ايش فيها واجرب اكل واتعرف عل ناس,Positive,GENERAL,
نشاء الله ميك ياس الي خلص عليك حسيتو مش قد بعضو,Positive,GENERAL,
انا بتابع كل فيديوهاتك ممكن تجرب اكل في بلادي جزائر لحبيبه,Positive,RESTAURANT#GENERAL,مطعم
اكبر تحيه وبوسه من سعوديه لتونس,Positive,GENERAL,
شهيتو في كسكسي عصب تحياتي لك من تونس,Positive,GENERAL,
اطيب تحيه من سور جريحه الي اهل كرم نخوه في قطر شقيق تونس عرب,Positive,GENERAL,
تحيه لاخو تونسي من جزائر,Positive,GENERAL,
اخ باسل يعطيك عافيه بلاش منها في تونس استبدل بيعطيك صحه,Positive,GENERAL,
صحه وبالشفاء في تونس حبيبه,Positive,GENERAL,
الله عليك يا تونس انشالله لازم نزور تونس شعب راقي وحباب علي راي محمود درويش كيف اشفي من حب تونس,Positive,GENERAL,
مرحب بيك بتونس,Positive,GENERAL,
اجمل حلقه تونس حبيبه تحيه من باريس,Positive,GENERAL,
باسل ما شاء الله تاكل كثير كم وزنك,Positive,GENERAL,
عصب عصب حرام عليك,Positive,FOOD#QUALITY,اكل
تعال الي جزائر علي فكر اكلن كتير طيب وهيك تفرج ناس ان اكل زاكي,Positive,GENERAL,
انا تونسيه و نحب تونس و فخوره و الي معي يحط لايك كبيره,Positive,GENERAL,
اكل جارت مغرب عربي اكل محرحر ونحب نكثر فلفل,Positive,GENERAL,
الي محلي فيديو حجه ام مضيف قسم بالله من وجه تحس انها طيب كله والله ذكرت بامي الله يرحم الله يخلي لكم ويرزق بركم,Positive,GENERAL,
يجب ان تاكل عصيده زڨوڨو لذيذه جدا,Positive,GENERAL,
وين زيارتك يبيا حبيبه,Positive,GENERAL,
صحه وعافيه ومرحبا بك في بلدي,Positive,GENERAL,
فكره اكل منزلي رائعه عند اهل كرم اخو توانسه تحيه لكم جميعا من مكه,Positive,GENERAL,
برافو,Positive,RESTAURANT#SERVICE,شاف
تا يمك عثر هذا,Positive,RESTAURANT#LOCALISATION,عنوان
تحيه من عراق لتونس الله يحفض عله طيبت هاي,Positive,GENERAL,
تحيه هريسه تونسيه من مغرب معشق هريست,Positive,GENERAL,
لله علي صوت اسماء منور,Positive,GENERAL,
هريسه معج طماطم قالك,Negative,FOOD#QUALITY,اكل
ولله احبك يا اخي باسل حاج فديوهاتك ممتعه جدا جدا جدا بس بتابع فديوه عطول بتجوع,Positive,GENERAL,
مارايك ان تزور جزائر اكل روعه,Positive,GENERAL,
لسه ما اكلت شي يا عزيزي تونس عامره باطباق متنوعه لذيذه ناهيك عن حلوي رهيبه ماب شمال وسط جنوب تونس,Positive,GENERAL,
من يحب الله يحط لايك و جيم انت يا اخ هل يمكنك ان تذهب الا فلب,Positive,GENERAL,
الله علي توانسه,Positive,GENERAL,
تونس بلدي عزيز نموت عليك,Positive,GENERAL,
تونس خضراء تونس الحب تونس ضيافه سوري في تونس,Positive,GENERAL,
اصلا اكل تونسي باقي تقليد اخو من ليب,Positive,GENERAL,
وانت تكتب ف عنو نيتك وين,Positive,GENERAL,
والله اهل تونس طيب و لو ما نفت علي بس طيب اوي باسل يموت علي اكل,Positive,GENERAL,
تحيه الي شعب تونس محب من سعوديه,Positive,GENERAL,
يبكي دمعه بين قوس,Positive,GENERAL,
الله يعيشلك امك وابوك يا ياس,Positive,GENERAL,
احلي بلد واحلي شعب اتم ازور,Positive,GENERAL,
تحيه من هندي محب لتونس,Positive,GENERAL,
صحه وهنا ع قلوب,Positive,GENERAL,
سلا سلا ياشعب تونس الله يحفظ من كل مكروه اتم ازور,Positive,GENERAL,
شعب هريسسههء,Positive,GENERAL,
كل تحيه من غزه لتونس خضراء من اكثر بلاد عربيه اللي بحب وبتم ازور يوم من ايام,Positive,GENERAL,
ويناه لي شاف حشيش,Positive,GENERAL,
تحيه جزائريه الي اشقاء غالي,Positive,GENERAL,
سلام علي انا متبعك من تونس,Positive,GENERAL,
تونسي يبان هنا وين يا تونسا,Positive,GENERAL,
تحياتي لشعب تونسي شقيق جميل اكل تونسي لذيذ هلبا وكسكسي زي ليبي,Positive,GENERAL,
دير شويه ديال رجيم وناديلي اكل بدلك,Positive,GENERAL,
والله ماشاء الله شغل جميل توفيق اتم من جميع دعم قناتي اشتراك مشاهده و شكرا,Positive,GENERAL,
انا تونسيه و مرحبا بيك في بلادي ان شاء الله عجبتك اكل و بلاد,Positive,GENERAL,
الله حيهم عرب كرم فيهم وهذا الشب مضياف ماشاء الله كريم تحيه ل اهل تونس,Positive,GENERAL,
كل شي بتونس طيب ناس هوا اكل اعشق تونس سوري محب لتونس,Positive,GENERAL,
تونه وبيض,Negative,FOOD#QUALITY,اكل
وياس باين عليك مولا خير وتع ضيافه الف تحيه ليك,Positive,RESTAURANT#SERVICE,شاف
بيض نيء مو مستوي وع يالله شو بشع,Negative,FOOD#QUALITY,اكل
تابع علي يوتيوب في قنات ذوق تحصل مع وسام و فاروق,Positive,GENERAL,
انا جربت كفتاجي لبلابي في تونس وما وجدت مثل طعم في اي دوله ثانيه مطبخ تونسي مميز برشا ا,Positive,FOOD#QUALITY,اكل
قهرت عصبان,Positive,FOOD#QUALITY,اكل
كيفك باسل بتمنه منك تعمل حلقه عن اكل سوريه,Positive,GENERAL,
انت بتعرف غير تكل ارحم نفسك,Negative,GENERAL,
الله يكرمه تونسي رجال نعم فيه,Positive,GENERAL,
تحياتي لاهل وشعب تونس طيب اخو من فلسط وعاشت كل دول عربيه,Positive,GENERAL,
انا من جزائر و نموت علا تونس و مرحبا بيك عدنا باسل جزائر احلي اكل,Positive,GENERAL,
صوت اسماء لمنور ف بدايه واو روعه,Positive,GENERAL,
يا زلمه ماشاء الله عليك انت حوت اكل بتاكل اكتر من حوت وحش اكل واهم شي بحضرك و انا جوع,Positive,FOOD#QUALITY,اكل
خير صاحبك مضايق,Positive,GENERAL,
ياس خويا ينور وجهك عطيت تصويره مزيانه علي بلاد ربي يخليلك والده لي فرحت بيه,Positive,GENERAL,
وياك نفر كسكسي علتمن ههه,Positive,FOOD#QUALITY,اكل
مرحبا بيك في بلادي تونس ومرحبا بكل اخو عرب نحبو برشا وتشرفو,Positive,GENERAL,
انا بحييك من تونس,Positive,GENERAL,
يعطيك صحه وكلك كرم و اخلاق انك استدعيتو عنا,Positive,RESTAURANT#SERVICE,شاف
فديت اهل تونس الاف تحا من عراق,Positive,GENERAL,
035 هل موال هذا من فنون تونسيه,Positive,GENERAL,
نبي حلقه عن ليب بليز,Positive,GENERAL,
نبغو برشا برشا,Positive,GENERAL,
تحياتي من رياض والله تستاهل ملي لايك واحلي تحيه من قلب لاهل تونس,Positive,GENERAL,
كاش جزائري دير جاست و يعرض علي سندويتش فريت بهدلتو,Positive,GENERAL,
تعال جربه تجي في تونس فيها مناضر و لحمه جميله,Positive,GENERAL,
انت وتاكل ملوخيه حسيتك بدك زوع,Positive,FOOD#QUALITY,اكل
من عراق تحيه لتونس عراقي وينك لايك اعطي شكو ماكو,Positive,GENERAL,
